Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
ESTADO DE MÉXICO,182.000,0.989,0.034,1.000,0.005,0.020,1.000,0.005,0.083,179.000,0.973,0.034,3.000,0.016,0.042,2.000,0.011,0.050,164.000,0.891,0.033,16.000,0.087,0.051,4.000,0.022,0.048,140.000,0.761,0.041,21.000,0.114,0.038,23.000,0.125,0.017,164.000,0.891,0.036,13.000,0.071,0.040,7.000,0.038,0.014,145.000,0.788,0.033,31.000,0.168,0.043,8.000,0.043,0.027,122.000,0.663,0.032,47.000,0.255,0.046,15.000,0.082,0.026,116.000,0.630,0.031,49.000,0.266,0.046,19.000,0.103,0.033,115.000,0.625,0.033,47.000,0.255,0.044,22.000,0.120,0.029
GUANAJUATO,250.000,0.980,0.047,5.000,0.020,0.098,0.000,0.000,0.000,250.000,0.980,0.048,4.000,0.016,0.056,1.000,0.004,0.025,244.000,0.957,0.049,10.000,0.039,0.032,1.000,0.004,0.012,129.000,0.506,0.038,33.000,0.129,0.059,93.000,0.365,0.067,179.000,0.702,0.039,23.000,0.090,0.070,53.000,0.208,0.110,203.000,0.796,0.047,37.000,0.145,0.052,15.000,0.059,0.051,180.000,0.706,0.048,44.000,0.173,0.043,31.000,0.122,0.054,168.000,0.659,0.045,54.000,0.212,0.051,33.000,0.129,0.058,160.000,0.627,0.045,53.000,0.208,0.050,42.000,0.165,0.055
GUERRERO,18.000,1.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,18.000,1.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,17.000,0.944,0.003,0.000,0.000,0.000,1.000,0.056,0.012,14.000,0.778,0.004,1.000,0.056,0.002,3.000,0.167,0.002,17.000,0.944,0.004,1.000,0.056,0.003,0.000,0.000,0.000,15.000,0.833,0.003,2.000,0.111,0.003,1.000,0.056,0.003,12.000,0.667,0.003,4.000,0.222,0.004,2.000,0.111,0.004,12.000,0.667,0.003,4.000,0.222,0.004,2.000,0.111,0.004,13.000,0.722,0.004,3.000,0.167,0.003,2.000,0.111,0.003
HIDALGO,172.000,0.983,0.033,3.000,0.017,0.059,0.000,0.000,0.000,170.000,0.971,0.032,2.000,0.011,0.028,3.000,0.017,0.075,161.000,0.920,0.033,11.000,0.063,0.035,3.000,0.017,0.036,128.000,0.731,0.038,15.000,0.086,0.027,32.000,0.183,0.023,167.000,0.954,0.037,4.000,0.023,0.012,4.000,0.023,0.008,147.000,0.840,0.034,20.000,0.114,0.028,8.000,0.046,0.027,131.000,0.749,0.035,32.000,0.183,0.031,12.000,0.069,0.021,132.000,0.754,0.036,30.000,0.171,0.028,13.000,0.074,0.023,119.000,0.680,0.034,34.000,0.194,0.032,22.000,0.126,0.029
JALISCO,182.000,0.978,0.034,3.000,0.016,0.059,1.000,0.005,0.083,183.000,0.984,0.035,2.000,0.011,0.028,1.000,0.005,0.025,174.000,0.935,0.035,7.000,0.038,0.022,5.000,0.027,0.060,99.000,0.532,0.029,17.000,0.091,0.031,70.000,0.376,0.051,160.000,0.860,0.035,8.000,0.043,0.024,18.000,0.097,0.037,129.000,0.694,0.030,41.000,0.220,0.057,16.000,0.086,0.054,135.000,0.726,0.036,31.000,0.167,0.030,20.000,0.108,0.035,127.000,0.683,0.034,40.000,0.215,0.038,19.000,0.102,0.033,114.000,0.613,0.032,44.000,0.237,0.041,28.000,0.151,0.037
MICHOACÁN,47.000,0.979,0.009,1.000,0.021,0.020,0.000,0.000,0.000,48.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,42.000,0.875,0.008,4.000,0.083,0.013,2.000,0.042,0.024,34.000,0.708,0.010,3.000,0.063,0.005,11.000,0.229,0.008,45.000,0.938,0.010,1.000,0.021,0.003,2.000,0.042,0.004,37.000,0.771,0.009,8.000,0.167,0.011,3.000,0.063,0.010,31.000,0.646,0.008,13.000,0.271,0.013,4.000,0.083,0.007,28.000,0.583,0.008,17.000,0.354,0.016,3.000,0.063,0.005,27.000,0.563,0.008,16.000,0.333,0.015,5.000,0.104,0.007
MORELOS,165.000,0.994,0.031,1.000,0.006,0.020,0.000,0.000,0.000,165.000,0.994,0.031,1.000,0.006,0.014,0.000,0.000,0.000,155.000,0.934,0.031,8.000,0.048,0.025,3.000,0.018,0.036,109.000,0.657,0.032,17.000,0.102,0.031,40.000,0.241,0.029,149.000,0.898,0.033,9.000,0.054,0.028,8.000,0.048,0.017,126.000,0.759,0.029,30.000,0.181,0.042,10.000,0.060,0.034,117.000,0.705,0.031,31.000,0.187,0.030,18.000,0.108,0.032,123.000,0.741,0.033,27.000,0.163,0.025,16.000,0.096,0.028,110.000,0.663,0.031,35.000,0.211,0.033,21.000,0.127,0.028
NAYARIT,190.000,0.990,0.036,2.000,0.010,0.039,0.000,0.000,0.000,184.000,0.958,0.035,3.000,0.016,0.042,5.000,0.026,0.125,185.000,0.964,0.037,5.000,0.026,0.016,2.000,0.010,0.024,123.000,0.641,0.036,18.000,0.094,0.032,51.000,0.266,0.037,169.000,0.880,0.037,11.000,0.057,0.034,12.000,0.063,0.025,159.000,0.828,0.037,23.000,0.120,0.032,10.000,0.052,0.034,139.000,0.724,0.037,35.000,0.182,0.034,18.000,0.094,0.032,127.000,0.661,0.034,42.000,0.219,0.039,23.000,0.120,0.040,130.000,0.677,0.037,35.000,0.182,0.033,27.000,0.141,0.036
NUEVO LEÓN,33.000,0.971,0.006,1.000,0.029,0.020,0.000,0.000,0.000,34.000,1.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.912,0.006,3.000,0.088,0.009,0.000,0.000,0.000,20.000,0.588,0.006,1.000,0.029,0.002,13.000,0.382,0.009,31.000,0.912,0.007,1.000,0.029,0.003,2.000,0.059,0.004,26.000,0.765,0.006,4.000,0.118,0.006,4.000,0.118,0.013,24.000,0.706,0.006,7.000,0.206,0.007,3.000,0.088,0.005,25.000,0.735,0.007,7.000,0.206,0.007,2.000,0.059,0.004,24.000,0.706,0.007,7.000,0.206,0.007,3.000,0.088,0.004
PUEBLA,189.000,0.990,0.036,1.000,0.005,0.020,1.000,0.005,0.083,187.000,0.979,0.036,2.000,0.010,0.028,2.000,0.010,0.050,174.000,0.911,0.035,11.000,0.058,0.035,6.000,0.031,0.072,81.000,0.424,0.024,18.000,0.094,0.032,92.000,0.482,0.067,126.000,0.660,0.028,9.000,0.047,0.028,56.000,0.293,0.116,147.000,0.770,0.034,29.000,0.152,0.040,15.000,0.079,0.051,132.000,0.691,0.035,41.000,0.215,0.040,18.000,0.094,0.032,134.000,0.702,0.036,42.000,0.220,0.039,15.000,0.079,0.026,131.000,0.686,0.037,39.000,0.204,0.037,21.000,0.110,0.028
QUERÉTARO,241.000,1.000,0.046,0.000,0.000,0.000,0.000,0.000,0.000,233.000,0.967,0.044,6.000,0.025,0.083,2.000,0.008,0.050,219.000,0.909,0.044,17.000,0.071,0.054,5.000,0.021,0.060,135.000,0.560,0.040,24.000,0.100,0.043,82.000,0.340,0.059,189.000,0.784,0.042,20.000,0.083,0.061,32.000,0.133,0.066,184.000,0.763,0.042,38.000,0.158,0.053,19.000,0.079,0.064,175.000,0.726,0.047,48.000,0.199,0.047,18.000,0.075,0.032,164.000,0.680,0.044,53.000,0.220,0.050,24.000,0.100,0.042,150.000,0.622,0.043,54.000,0.224,0.051,37.000,0.154,0.049
QUINTANA ROO,200.000,0.990,0.038,1.000,0.005,0.020,1.000,0.005,0.083,202.000,1.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,191.000,0.946,0.039,8.000,0.040,0.025,3.000,0.015,0.036,119.000,0.589,0.035,20.000,0.099,0.036,63.000,0.312,0.046,174.000,0.861,0.038,10.000,0.050,0.031,18.000,0.089,0.037,166.000,0.822,0.038,25.000,0.124,0.035,11.000,0.054,0.037,141.000,0.698,0.038,34.000,0.168,0.033,27.000,0.134,0.047,142.000,0.703,0.038,34.000,0.168,0.032,26.000,0.129,0.046,142.000,0.703,0.040,35.000,0.173,0.033,25.000,0.124,0.033
SAN LUIS POTOSÍ,244.000,0.996,0.046,1.000,0.004,0.020,0.000,0.000,0.000,244.000,0.996,0.047,0.000,0.000,0.000,1.000,0.004,0.025,231.000,0.943,0.047,9.000,0.037,0.028,5.000,0.020,0.060,159.000,0.649,0.047,28.000,0.114,0.050,58.000,0.237,0.042,215.000,0.878,0.047,11.000,0.045,0.034,19.000,0.078,0.039,199.000,0.812,0.046,32.000,0.131,0.045,14.000,0.057,0.047,175.000,0.714,0.047,50.000,0.204,0.049,20.000,0.082,0.035,166.000,0.678,0.045,55.000,0.224,0.052,24.000,0.098,0.042,159.000,0.649,0.045,48.000,0.196,0.045,38.000,0.155,0.050
SINALOA,377.000,0.990,0.071,3.000,0.008,0.059,1.000,0.003,0.083,372.000,0.976,0.071,6.000,0.016,0.083,3.000,0.008,0.075,344.000,0.903,0.069,29.000,0.076,0.092,8.000,0.021,0.096,219.000,0.575,0.064,78.000,0.205,0.140,84.000,0.220,0.061,361.000,0.948,0.079,18.000,0.047,0.055,2.000,0.005,0.004,328.000,0.861,0.076,36.000,0.094,0.050,17.000,0.045,0.057,244.000,0.640,0.065,103.000,0.270,0.100,34.000,0.089,0.060,248.000,0.651,0.067,104.000,0.273,0.098,29.000,0.076,0.051,261.000,0.685,0.074,79.000,0.207,0.074,41.000,0.108,0.054
SONORA,165.000,0.982,0.031,3.000,0.018,0.059,0.000,0.000,0.000,167.000,0.994,0.032,0.000,0.000,0.000,1.000,0.006,0.025,159.000,0.946,0.032,8.000,0.048,0.025,1.000,0.006,0.012,100.000,0.595,0.029,20.000,0.119,0.036,48.000,0.286,0.035,142.000,0.845,0.031,11.000,0.065,0.034,15.000,0.089,0.031,135.000,0.804,0.031,24.000,0.143,0.033,9.000,0.054,0.030,111.000,0.661,0.030,38.000,0.226,0.037,19.000,0.113,0.033,115.000,0.685,0.031,35.000,0.208,0.033,18.000,0.107,0.032,113.000,0.673,0.032,32.000,0.190,0.030,23.000,0.137,0.030
TABASCO,62.000,1.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,61.000,0.984,0.012,1.000,0.016,0.014,0.000,0.000,0.000,56.000,0.903,0.011,3.000,0.048,0.009,3.000,0.048,0.036,35.000,0.565,0.010,10.000,0.161,0.018,17.000,0.274,0.012,49.000,0.790,0.011,6.000,0.097,0.018,7.000,0.113,0.014,51.000,0.823,0.012,5.000,0.081,0.007,6.000,0.097,0.020,41.000,0.661,0.011,7.000,0.113,0.007,14.000,0.226,0.025,47.000,0.758,0.013,6.000,0.097,0.006,9.000,0.145,0.016,46.000,0.742,0.013,8.000,0.129,0.008,8.000,0.129,0.011
TAMAULIPAS,205.000,0.981,0.039,3.000,0.014,0.059,1.000,0.005,0.083,204.000,0.976,0.039,4.000,0.019,0.056,1.000,0.005,0.025,195.000,0.933,0.039,11.000,0.053,0.035,3.000,0.014,0.036,126.000,0.603,0.037,15.000,0.072,0.027,68.000,0.325,0.049,195.000,0.933,0.043,4.000,0.019,0.012,10.000,0.048,0.021,165.000,0.789,0.038,33.000,0.158,0.046,11.000,0.053,0.037,148.000,0.708,0.039,34.000,0.163,0.033,27.000,0.129,0.047,151.000,0.722,0.041,34.000,0.163,0.032,24.000,0.115,0.042,137.000,0.656,0.039,37.000,0.177,0.035,35.000,0.167,0.046
TLAXCALA,89.000,0.967,0.017,3.000,0.033,0.059,0.000,0.000,0.000,88.000,0.957,0.017,4.000,0.043,0.056,0.000,0.000,0.000,78.000,0.848,0.016,14.000,0.152,0.044,0.000,0.000,0.000,50.000,0.543,0.015,17.000,0.185,0.031,25.000,0.272,0.018,55.000,0.598,0.012,15.000,0.163,0.046,22.000,0.239,0.046,64.000,0.696,0.015,22.000,0.239,0.031,6.000,0.065,0.020,57.000,0.620,0.015,18.000,0.196,0.018,17.000,0.185,0.030,63.000,0.685,0.017,15.000,0.163,0.014,14.000,0.152,0.025,60.000,0.652,0.017,17.000,0.185,0.016,15.000,0.163,0.020
VERACRUZ,117.000,0.983,0.022,1.000,0.008,0.020,1.000,0.008,0.083,113.000,0.950,0.022,6.000,0.050,0.083,0.000,0.000,0.000,103.000,0.866,0.021,15.000,0.126,0.047,1.000,0.008,0.012,73.000,0.613,0.021,14.000,0.118,0.025,32.000,0.269,0.023,93.000,0.782,0.020,13.000,0.109,0.040,13.000,0.109,0.027,96.000,0.807,0.022,18.000,0.151,0.025,5.000,0.042,0.017,72.000,0.605,0.019,28.000,0.235,0.027,19.000,0.160,0.033,72.000,0.605,0.019,30.000,0.252,0.028,17.000,0.143,0.030,66.000,0.555,0.019,32.000,0.269,0.030,21.000,0.176,0.028
YUCATÁN,121.000,0.968,0.023,3.000,0.024,0.059,1.000,0.008,0.083,119.000,0.952,0.023,5.000,0.040,0.069,1.000,0.008,0.025,112.000,0.896,0.023,11.000,0.088,0.035,2.000,0.016,0.024,66.000,0.528,0.019,18.000,0.144,0.032,41.000,0.328,0.030,94.000,0.752,0.021,13.000,0.104,0.040,18.000,0.144,0.037,91.000,0.728,0.021,22.000,0.176,0.031,12.000,0.096,0.040,90.000,0.720,0.024,22.000,0.176,0.021,13.000,0.104,0.023,88.000,0.704,0.024,24.000,0.192,0.023,13.000,0.104,0.023,78.000,0.624,0.022,24.000,0.192,0.023,23.000,0.184,0.030
ZACATECAS,216.000,0.991,0.041,2.000,0.009,0.039,0.000,0.000,0.000,215.000,0.986,0.041,1.000,0.005,0.014,2.000,0.009,0.050,199.000,0.913,0.040,17.000,0.078,0.054,2.000,0.009,0.024,130.000,0.596,0.038,24.000,0.110,0.043,64.000,0.294,0.046,188.000,0.862,0.041,11.000,0.050,0.034,19.000,0.087,0.039,182.000,0.835,0.042,22.000,0.101,0.031,14.000,0.064,0.047,169.000,0.775,0.045,27.000,0.124,0.026,22.000,0.101,0.039,167.000,0.766,0.045,30.000,0.138,0.028,21.000,0.096,0.037,154.000,0.706,0.044,35.000,0.161,0.033,29.000,0.133,0.038
Hombre,228.000,0.987,0.043,3.000,0.013,0.059,0.000,0.000,0.000,224.000,0.970,0.043,6.000,0.026,0.083,1.000,0.004,0.025,214.000,0.926,0.043,15.000,0.065,0.047,2.000,0.009,0.024,159.000,0.691,0.047,28.000,0.122,0.050,43.000,0.187,0.031,203.000,0.879,0.045,14.000,0.061,0.043,14.000,0.061,0.029,191.000,0.827,0.044,31.000,0.134,0.043,9.000,0.039,0.030,168.000,0.730,0.045,48.000,0.209,0.047,14.000,0.061,0.025,158.000,0.687,0.043,45.000,0.196,0.042,27.000,0.117,0.047,149.000,0.648,0.042,44.000,0.191,0.041,37.000,0.161,0.049
Mujer,5061.000,0.988,0.957,48.000,0.009,0.941,12.000,0.002,1.000,5016.000,0.979,0.957,66.000,0.013,0.917,39.000,0.008,0.975,4739.000,0.925,0.957,301.000,0.059,0.953,81.000,0.016,0.976,3254.000,0.635,0.953,529.000,0.103,0.950,1338.000,0.261,0.969,4339.000,0.847,0.955,313.000,0.061,0.957,469.000,0.092,0.971,4147.000,0.810,0.956,686.000,0.134,0.957,288.000,0.056,0.970,3588.000,0.701,0.955,977.000,0.191,0.953,556.000,0.109,0.975,3558.000,0.695,0.957,1019.000,0.199,0.958,544.000,0.106,0.953,3380.000,0.660,0.958,1020.000,0.199,0.959,721.000,0.141,0.951
18 a 20 años,33.000,1.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,33.000,1.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.818,0.005,3.000,0.091,0.009,3.000,0.091,0.036,22.000,0.667,0.006,5.000,0.152,0.009,6.000,0.182,0.004,26.000,0.788,0.006,2.000,0.061,0.006,5.000,0.152,0.010,28.000,0.848,0.006,3.000,0.091,0.004,2.000,0.061,0.007,25.000,0.758,0.007,2.000,0.061,0.002,6.000,0.182,0.011,24.000,0.727,0.006,5.000,0.152,0.005,4.000,0.121,0.007,21.000,0.636,0.006,7.000,0.212,0.007,5.000,0.152,0.007
