Entidad,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
GUANAJUATO,371.000,1.000,0.033,0.000,0.000,0.000,0.000,0.000,0.000,369.000,0.995,0.033,2.000,0.005,0.014,0.000,0.000,0.000,346.000,0.933,0.033,22.000,0.059,0.028,3.000,0.008,0.016,261.000,0.704,0.030,37.000,0.100,0.034,73.000,0.197,0.048,301.000,0.811,0.030,29.000,0.078,0.038,41.000,0.111,0.063,301.000,0.811,0.034,52.000,0.140,0.027,18.000,0.049,0.026,288.000,0.776,0.035,52.000,0.140,0.023,31.000,0.084,0.031,267.000,0.720,0.033,66.000,0.178,0.028,38.000,0.102,0.036,253.000,0.682,0.034,67.000,0.181,0.027,51.000,0.137,0.034
GUERRERO,20.000,1.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,20.000,1.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,16.000,0.800,0.002,3.000,0.150,0.004,1.000,0.050,0.005,15.000,0.750,0.002,2.000,0.100,0.002,3.000,0.150,0.002,17.000,0.850,0.002,1.000,0.050,0.001,2.000,0.100,0.003,17.000,0.850,0.002,2.000,0.100,0.001,1.000,0.050,0.001,12.000,0.600,0.001,6.000,0.300,0.003,2.000,0.100,0.002,12.000,0.600,0.001,5.000,0.250,0.002,3.000,0.150,0.003,11.000,0.550,0.001,6.000,0.300,0.002,3.000,0.150,0.002
HIDALGO,323.000,0.982,0.029,4.000,0.012,0.032,2.000,0.006,0.061,324.000,0.985,0.029,3.000,0.009,0.021,2.000,0.006,0.050,296.000,0.900,0.028,25.000,0.076,0.032,8.000,0.024,0.044,238.000,0.723,0.027,44.000,0.134,0.041,47.000,0.143,0.031,291.000,0.884,0.029,25.000,0.076,0.033,13.000,0.040,0.020,249.000,0.757,0.028,49.000,0.149,0.026,31.000,0.094,0.045,246.000,0.748,0.030,62.000,0.188,0.028,21.000,0.064,0.021,226.000,0.687,0.028,66.000,0.201,0.028,37.000,0.112,0.035,204.000,0.620,0.027,74.000,0.225,0.030,51.000,0.155,0.034
JALISCO,234.000,0.996,0.021,0.000,0.000,0.000,1.000,0.004,0.030,234.000,0.996,0.021,0.000,0.000,0.000,1.000,0.004,0.025,221.000,0.940,0.021,9.000,0.038,0.012,5.000,0.021,0.027,145.000,0.617,0.016,22.000,0.094,0.020,68.000,0.289,0.045,212.000,0.902,0.021,11.000,0.047,0.015,12.000,0.051,0.018,189.000,0.804,0.021,38.000,0.162,0.020,8.000,0.034,0.012,178.000,0.757,0.022,34.000,0.145,0.015,23.000,0.098,0.023,169.000,0.719,0.021,46.000,0.196,0.020,20.000,0.085,0.019,150.000,0.638,0.020,54.000,0.230,0.022,31.000,0.132,0.021
MICHOACÁN,37.000,1.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,36.000,0.973,0.003,1.000,0.027,0.007,0.000,0.000,0.000,33.000,0.892,0.003,3.000,0.081,0.004,1.000,0.027,0.005,31.000,0.838,0.004,4.000,0.108,0.004,2.000,0.054,0.001,36.000,0.973,0.004,1.000,0.027,0.001,0.000,0.000,0.000,28.000,0.757,0.003,5.000,0.135,0.003,4.000,0.108,0.006,23.000,0.622,0.003,8.000,0.216,0.004,6.000,0.162,0.006,23.000,0.622,0.003,9.000,0.243,0.004,5.000,0.135,0.005,25.000,0.676,0.003,9.000,0.243,0.004,3.000,0.081,0.002
MORELOS,351.000,0.980,0.031,5.000,0.014,0.040,2.000,0.006,0.061,351.000,0.980,0.031,5.000,0.014,0.035,2.000,0.006,0.050,320.000,0.894,0.031,30.000,0.084,0.039,8.000,0.022,0.044,257.000,0.718,0.029,41.000,0.115,0.038,60.000,0.168,0.039,291.000,0.813,0.029,25.000,0.070,0.033,42.000,0.117,0.064,261.000,0.729,0.029,67.000,0.187,0.035,30.000,0.084,0.043,255.000,0.712,0.031,69.000,0.193,0.031,34.000,0.095,0.034,234.000,0.654,0.029,89.000,0.249,0.038,35.000,0.098,0.033,223.000,0.623,0.030,84.000,0.235,0.034,51.000,0.142,0.034
NAYARIT,441.000,0.987,0.039,4.000,0.009,0.032,2.000,0.004,0.061,438.000,0.980,0.039,8.000,0.018,0.056,1.000,0.002,0.025,402.000,0.899,0.038,33.000,0.074,0.043,12.000,0.027,0.066,322.000,0.720,0.036,47.000,0.105,0.043,78.000,0.174,0.051,402.000,0.899,0.040,24.000,0.054,0.032,21.000,0.047,0.032,367.000,0.821,0.041,60.000,0.134,0.032,20.000,0.045,0.029,330.000,0.738,0.040,82.000,0.183,0.037,35.000,0.078,0.035,326.000,0.729,0.041,84.000,0.188,0.036,37.000,0.083,0.035,311.000,0.696,0.042,87.000,0.195,0.035,49.000,0.110,0.033
NUEVO LEÓN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PUEBLA,389.000,0.992,0.034,3.000,0.008,0.024,0.000,0.000,0.000,390.000,0.995,0.035,1.000,0.003,0.007,1.000,0.003,0.025,357.000,0.911,0.034,32.000,0.082,0.041,3.000,0.008,0.016,262.000,0.668,0.030,59.000,0.151,0.055,71.000,0.181,0.046,325.000,0.829,0.032,32.000,0.082,0.042,35.000,0.089,0.054,315.000,0.804,0.036,65.000,0.166,0.034,12.000,0.031,0.017,292.000,0.745,0.036,80.000,0.204,0.036,20.000,0.051,0.020,294.000,0.750,0.037,79.000,0.202,0.034,19.000,0.048,0.018,286.000,0.730,0.038,84.000,0.214,0.034,22.000,0.056,0.015
QUERÉTARO,506.000,0.984,0.045,6.000,0.012,0.048,2.000,0.004,0.061,506.000,0.984,0.045,4.000,0.008,0.028,4.000,0.008,0.100,481.000,0.936,0.046,28.000,0.054,0.036,5.000,0.010,0.027,321.000,0.625,0.036,58.000,0.113,0.054,135.000,0.263,0.088,417.000,0.811,0.042,35.000,0.068,0.046,62.000,0.121,0.095,384.000,0.747,0.043,92.000,0.179,0.049,38.000,0.074,0.055,374.000,0.728,0.045,87.000,0.169,0.039,53.000,0.103,0.053,364.000,0.708,0.045,97.000,0.189,0.042,53.000,0.103,0.050,329.000,0.640,0.044,106.000,0.206,0.042,79.000,0.154,0.053
QUINTANA ROO,459.000,0.987,0.041,5.000,0.011,0.040,1.000,0.002,0.030,458.000,0.985,0.041,6.000,0.013,0.042,1.000,0.002,0.025,429.000,0.923,0.041,31.000,0.067,0.040,5.000,0.011,0.027,327.000,0.703,0.037,53.000,0.114,0.049,85.000,0.183,0.056,396.000,0.852,0.039,33.000,0.071,0.044,36.000,0.077,0.055,354.000,0.761,0.040,84.000,0.181,0.044,27.000,0.058,0.039,326.000,0.701,0.040,91.000,0.196,0.041,48.000,0.103,0.048,311.000,0.669,0.039,93.000,0.200,0.040,61.000,0.131,0.058,288.000,0.619,0.039,98.000,0.211,0.039,79.000,0.170,0.053
SAN LUIS POTOSÍ,378.000,0.990,0.033,4.000,0.010,0.032,0.000,0.000,0.000,377.000,0.987,0.033,4.000,0.010,0.028,1.000,0.003,0.025,348.000,0.911,0.033,26.000,0.068,0.034,8.000,0.021,0.044,279.000,0.730,0.032,49.000,0.128,0.045,54.000,0.141,0.035,329.000,0.861,0.033,29.000,0.076,0.038,24.000,0.063,0.037,299.000,0.783,0.034,56.000,0.147,0.030,27.000,0.071,0.039,276.000,0.723,0.034,78.000,0.204,0.035,28.000,0.073,0.028,260.000,0.681,0.032,86.000,0.225,0.037,36.000,0.094,0.034,242.000,0.634,0.032,89.000,0.233,0.036,51.000,0.134,0.034
SINALOA,550.000,0.980,0.049,10.000,0.018,0.079,1.000,0.002,0.030,550.000,0.980,0.049,11.000,0.020,0.077,0.000,0.000,0.000,509.000,0.907,0.049,46.000,0.082,0.060,6.000,0.011,0.033,482.000,0.859,0.055,50.000,0.089,0.046,29.000,0.052,0.019,532.000,0.948,0.053,26.000,0.046,0.034,3.000,0.005,0.005,429.000,0.765,0.048,96.000,0.171,0.051,36.000,0.064,0.052,395.000,0.704,0.048,118.000,0.210,0.053,48.000,0.086,0.048,377.000,0.672,0.047,132.000,0.235,0.057,52.000,0.093,0.049,359.000,0.640,0.048,140.000,0.250,0.056,62.000,0.111,0.042
SONORA,319.000,0.979,0.028,6.000,0.018,0.048,1.000,0.003,0.030,317.000,0.972,0.028,8.000,0.025,0.056,1.000,0.003,0.025,307.000,0.942,0.029,17.000,0.052,0.022,2.000,0.006,0.011,229.000,0.702,0.026,34.000,0.104,0.031,63.000,0.193,0.041,307.000,0.942,0.031,10.000,0.031,0.013,9.000,0.028,0.014,254.000,0.779,0.029,53.000,0.163,0.028,19.000,0.058,0.027,239.000,0.733,0.029,61.000,0.187,0.028,26.000,0.080,0.026,221.000,0.678,0.027,75.000,0.230,0.032,30.000,0.092,0.028,202.000,0.620,0.027,71.000,0.218,0.028,53.000,0.163,0.036
TABASCO,388.000,0.987,0.034,4.000,0.010,0.032,1.000,0.003,0.030,385.000,0.980,0.034,6.000,0.015,0.042,2.000,0.005,0.050,368.000,0.936,0.035,21.000,0.053,0.027,4.000,0.010,0.022,262.000,0.667,0.030,54.000,0.137,0.050,77.000,0.196,0.050,324.000,0.824,0.032,28.000,0.071,0.037,41.000,0.104,0.063,319.000,0.812,0.036,51.000,0.130,0.027,23.000,0.059,0.033,278.000,0.707,0.034,72.000,0.183,0.032,43.000,0.109,0.043,278.000,0.707,0.035,70.000,0.178,0.030,45.000,0.115,0.042,276.000,0.702,0.037,73.000,0.186,0.029,44.000,0.112,0.030
TAMAULIPAS,421.000,0.975,0.037,8.000,0.019,0.063,3.000,0.007,0.091,423.000,0.979,0.038,5.000,0.012,0.035,4.000,0.009,0.100,393.000,0.910,0.037,32.000,0.074,0.041,7.000,0.016,0.038,346.000,0.801,0.039,39.000,0.090,0.036,47.000,0.109,0.031,380.000,0.880,0.038,32.000,0.074,0.042,20.000,0.046,0.031,327.000,0.757,0.037,67.000,0.155,0.035,38.000,0.088,0.055,306.000,0.708,0.037,86.000,0.199,0.039,40.000,0.093,0.040,288.000,0.667,0.036,103.000,0.238,0.044,41.000,0.095,0.039,268.000,0.620,0.036,100.000,0.231,0.040,64.000,0.148,0.043
TLAXCALA,325.000,0.985,0.029,5.000,0.015,0.040,0.000,0.000,0.000,325.000,0.985,0.029,4.000,0.012,0.028,1.000,0.003,0.025,302.000,0.915,0.029,24.000,0.073,0.031,4.000,0.012,0.022,273.000,0.827,0.031,25.000,0.076,0.023,32.000,0.097,0.021,298.000,0.903,0.030,19.000,0.058,0.025,13.000,0.039,0.020,249.000,0.755,0.028,63.000,0.191,0.033,18.000,0.055,0.026,238.000,0.721,0.029,66.000,0.200,0.030,26.000,0.079,0.026,223.000,0.676,0.028,79.000,0.239,0.034,28.000,0.085,0.026,215.000,0.652,0.029,77.000,0.233,0.031,38.000,0.115,0.026
VERACRUZ,126.000,1.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,125.000,0.992,0.011,1.000,0.008,0.007,0.000,0.000,0.000,114.000,0.905,0.011,10.000,0.079,0.013,2.000,0.016,0.011,92.000,0.730,0.010,17.000,0.135,0.016,17.000,0.135,0.011,113.000,0.897,0.011,9.000,0.071,0.012,4.000,0.032,0.006,98.000,0.778,0.011,21.000,0.167,0.011,7.000,0.056,0.010,92.000,0.730,0.011,27.000,0.214,0.012,7.000,0.056,0.007,90.000,0.714,0.011,29.000,0.230,0.012,7.000,0.056,0.007,78.000,0.619,0.010,34.000,0.270,0.014,14.000,0.111,0.009
YUCATÁN,257.000,0.985,0.023,4.000,0.015,0.032,0.000,0.000,0.000,259.000,0.992,0.023,2.000,0.008,0.014,0.000,0.000,0.000,237.000,0.908,0.023,19.000,0.073,0.025,5.000,0.019,0.027,177.000,0.678,0.020,32.000,0.123,0.030,52.000,0.199,0.034,202.000,0.774,0.020,30.000,0.115,0.040,29.000,0.111,0.044,217.000,0.831,0.024,32.000,0.123,0.017,12.000,0.046,0.017,205.000,0.785,0.025,43.000,0.165,0.019,13.000,0.050,0.013,198.000,0.759,0.025,48.000,0.184,0.021,15.000,0.057,0.014,193.000,0.739,0.026,43.000,0.165,0.017,25.000,0.096,0.017
ZACATECAS,727.000,0.982,0.064,10.000,0.014,0.079,3.000,0.004,0.091,724.000,0.978,0.064,10.000,0.014,0.070,6.000,0.008,0.150,668.000,0.903,0.064,57.000,0.077,0.074,15.000,0.020,0.082,623.000,0.842,0.071,53.000,0.072,0.049,64.000,0.086,0.042,649.000,0.877,0.065,51.000,0.069,0.067,40.000,0.054,0.061,558.000,0.754,0.063,137.000,0.185,0.072,45.000,0.061,0.065,568.000,0.768,0.069,128.000,0.173,0.058,44.000,0.059,0.044,519.000,0.701,0.064,149.000,0.201,0.064,72.000,0.097,0.068,487.000,0.658,0.065,160.000,0.216,0.064,93.000,0.126,0.063
Hombre,3406.000,0.990,0.302,26.000,0.008,0.206,9.000,0.003,0.273,3383.000,0.983,0.300,44.000,0.013,0.310,14.000,0.004,0.350,3166.000,0.920,0.302,218.000,0.063,0.282,57.000,0.017,0.311,2557.000,0.743,0.289,389.000,0.113,0.360,495.000,0.144,0.324,2996.000,0.871,0.299,248.000,0.072,0.327,197.000,0.057,0.301,2715.000,0.789,0.306,561.000,0.163,0.297,165.000,0.048,0.237,2625.000,0.763,0.319,607.000,0.176,0.274,209.000,0.061,0.208,2515.000,0.731,0.312,672.000,0.195,0.288,254.000,0.074,0.240,2261.000,0.657,0.303,765.000,0.222,0.306,415.000,0.121,0.280
Mujer,7880.000,0.985,0.698,100.000,0.012,0.794,24.000,0.003,0.727,7880.000,0.985,0.700,98.000,0.012,0.690,26.000,0.003,0.650,7323.000,0.915,0.698,555.000,0.069,0.718,126.000,0.016,0.689,6277.000,0.784,0.711,693.000,0.087,0.640,1033.000,0.129,0.676,7037.000,0.879,0.701,510.000,0.064,0.673,457.000,0.057,0.699,6144.000,0.768,0.694,1330.000,0.166,0.703,530.000,0.066,0.763,5597.000,0.699,0.681,1609.000,0.201,0.726,798.000,0.100,0.792,5534.000,0.691,0.688,1664.000,0.208,0.712,806.000,0.101,0.760,5199.000,0.650,0.697,1739.000,0.217,0.694,1066.000,0.133,0.720
18 a 20 años,80.000,0.976,0.007,2.000,0.024,0.016,0.000,0.000,0.000,80.000,0.976,0.007,1.000,0.012,0.007,1.000,0.012,0.025,73.000,0.890,0.007,6.000,0.073,0.008,3.000,0.037,0.016,56.000,0.683,0.006,16.000,0.195,0.015,10.000,0.122,0.007,68.000,0.829,0.007,10.000,0.122,0.013,4.000,0.049,0.006,64.000,0.780,0.007,13.000,0.159,0.007,5.000,0.061,0.007,54.000,0.659,0.007,19.000,0.232,0.009,9.000,0.110,0.009,52.000,0.634,0.006,19.000,0.232,0.008,11.000,0.134,0.010,53.000,0.646,0.007,20.000,0.244,0.008,9.000,0.110,0.006
21 a 30 años,2346.000,0.981,0.208,38.000,0.016,0.302,8.000,0.003,0.242,2355.000,0.985,0.209,30.000,0.013,0.211,7.000,0.003,0.175,2180.000,0.911,0.208,156.000,0.065,0.202,56.000,0.023,0.306,1899.000,0.794,0.215,209.000,0.087,0.193,284.000,0.119,0.186,2061.000,0.862,0.205,184.000,0.077,0.243,147.000,0.061,0.225,1804.000,0.754,0.204,423.000,0.177,0.224,165.000,0.069,0.237,1598.000,0.668,0.194,516.000,0.216,0.233,278.000,0.116,0.276,1592.000,0.666,0.198,516.000,0.216,0.221,284.000,0.119,0.268,1551.000,0.648,0.208,515.000,0.215,0.206,326.000,0.136,0.220
31 a 40 años,3983.000,0.985,0.353,49.000,0.012,0.389,12.000,0.003,0.364,3975.000,0.983,0.353,53.000,0.013,0.373,16.000,0.004,0.400,3694.000,0.913,0.352,291.000,0.072,0.376,59.000,0.015,0.322,3204.000,0.792,0.363,341.000,0.084,0.315,499.000,0.123,0.327,3572.000,0.883,0.356,236.000,0.058,0.311,236.000,0.058,0.361,3118.000,0.771,0.352,682.000,0.169,0.361,244.000,0.060,0.351,2892.000,0.715,0.352,815.000,0.202,0.368,337.000,0.083,0.335,2837.000,0.702,0.352,856.000,0.212,0.366,351.000,0.087,0.331,2601.000,0.643,0.349,926.000,0.229,0.370,517.000,0.128,0.349
41 a 50 años,3160.000,0.989,0.280,26.000,0.008,0.206,8.000,0.003,0.242,3148.000,0.986,0.279,38.000,0.012,0.268,8.000,0.003,0.200,2939.000,0.920,0.280,219.000,0.069,0.283,36.000,0.011,0.197,2396.000,0.750,0.271,333.000,0.104,0.308,465.000,0.146,0.304,2813.000,0.881,0.280,214.000,0.067,0.282,167.000,0.052,0.255,2499.000,0.782,0.282,508.000,0.159,0.269,187.000,0.059,0.269,2368.000,0.741,0.288,584.000,0.183,0.264,242.000,0.076,0.240,2292.000,0.718,0.285,642.000,0.201,0.275,260.000,0.081,0.245,2104.000,0.659,0.282,688.000,0.215,0.275,402.000,0.126,0.271
51 a 60 años,1518.000,0.991,0.135,9.000,0.006,0.071,5.000,0.003,0.152,1510.000,0.986,0.134,14.000,0.009,0.099,8.000,0.005,0.200,1420.000,0.927,0.135,86.000,0.056,0.111,26.000,0.017,0.142,1131.000,0.739,0.128,165.000,0.108,0.152,235.000,0.153,0.154,1339.000,0.874,0.133,105.000,0.069,0.139,88.000,0.057,0.135,1219.000,0.796,0.138,232.000,0.151,0.123,81.000,0.053,0.117,1152.000,0.752,0.140,262.000,0.171,0.118,118.000,0.077,0.117,1121.000,0.732,0.139,275.000,0.180,0.118,136.000,0.089,0.128,1015.000,0.663,0.136,322.000,0.210,0.129,195.000,0.127,0.132
61 a 70 años,186.000,0.989,0.016,2.000,0.011,0.016,0.000,0.000,0.000,182.000,0.968,0.016,6.000,0.032,0.042,0.000,0.000,0.000,171.000,0.910,0.016,14.000,0.074,0.018,3.000,0.016,0.016,137.000,0.729,0.016,17.000,0.090,0.016,34.000,0.181,0.022,168.000,0.894,0.017,8.000,0.043,0.011,12.000,0.064,0.018,145.000,0.771,0.016,31.000,0.165,0.016,12.000,0.064,0.017,150.000,0.798,0.018,19.000,0.101,0.009,19.000,0.101,0.019,146.000,0.777,0.018,26.000,0.138,0.011,16.000,0.085,0.015,129.000,0.686,0.017,30.000,0.160,0.012,29.000,0.154,0.020
71 a 80 años,13.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,13.000,1.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.923,0.001,1.000,0.077,0.001,0.000,0.000,0.000,11.000,0.846,0.001,1.000,0.077,0.001,1.000,0.077,0.001,12.000,0.923,0.001,1.000,0.077,0.001,0.000,0.000,0.000,10.000,0.769,0.001,2.000,0.154,0.001,1.000,0.077,0.001,8.000,0.615,0.001,1.000,0.077,0.000,4.000,0.308,0.004,9.000,0.692,0.001,2.000,0.154,0.001,2.000,0.154,0.002,7.000,0.538,0.001,3.000,0.231,0.001,3.000,0.231,0.002
81 a 90 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91 a 99 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Preparatoria, bachillerato o carrera técnica",35.000,0.972,0.003,1.000,0.028,0.008,0.000,0.000,0.000,36.000,1.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,35.000,0.972,0.003,0.000,0.000,0.000,1.000,0.028,0.005,28.000,0.778,0.003,3.000,0.083,0.003,5.000,0.139,0.003,33.000,0.917,0.003,1.000,0.028,0.001,2.000,0.056,0.003,30.000,0.833,0.003,5.000,0.139,0.003,1.000,0.028,0.001,34.000,0.944,0.004,1.000,0.028,0.000,1.000,0.028,0.001,30.000,0.833,0.004,3.000,0.083,0.001,3.000,0.083,0.003,30.000,0.833,0.004,4.000,0.111,0.002,2.000,0.056,0.001
Normal básica sin licenciatura,454.000,0.989,0.040,3.000,0.007,0.024,2.000,0.004,0.061,446.000,0.972,0.040,8.000,0.017,0.056,5.000,0.011,0.125,421.000,0.917,0.040,28.000,0.061,0.036,10.000,0.022,0.055,359.000,0.782,0.041,42.000,0.092,0.039,58.000,0.126,0.038,404.000,0.880,0.040,32.000,0.070,0.042,23.000,0.050,0.035,349.000,0.760,0.039,85.000,0.185,0.045,25.000,0.054,0.036,342.000,0.745,0.042,76.000,0.166,0.034,41.000,0.089,0.041,323.000,0.704,0.040,97.000,0.211,0.042,39.000,0.085,0.037,287.000,0.625,0.038,111.000,0.242,0.044,61.000,0.133,0.041
Normal superior,228.000,0.966,0.020,6.000,0.025,0.048,2.000,0.008,0.061,231.000,0.979,0.021,3.000,0.013,0.021,2.000,0.008,0.050,215.000,0.911,0.020,17.000,0.072,0.022,4.000,0.017,0.022,166.000,0.703,0.019,22.000,0.093,0.020,48.000,0.203,0.031,194.000,0.822,0.019,18.000,0.076,0.024,24.000,0.102,0.037,187.000,0.792,0.021,36.000,0.153,0.019,13.000,0.055,0.019,184.000,0.780,0.022,31.000,0.131,0.014,21.000,0.089,0.021,168.000,0.712,0.021,40.000,0.169,0.017,28.000,0.119,0.026,146.000,0.619,0.020,47.000,0.199,0.019,43.000,0.182,0.029
Normal Intercultural Bilingüe,106.000,1.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,105.000,0.991,0.009,1.000,0.009,0.007,0.000,0.000,0.000,98.000,0.925,0.009,6.000,0.057,0.008,2.000,0.019,0.011,90.000,0.849,0.010,7.000,0.066,0.006,9.000,0.085,0.006,88.000,0.830,0.009,8.000,0.075,0.011,10.000,0.094,0.015,77.000,0.726,0.009,20.000,0.189,0.011,9.000,0.085,0.013,70.000,0.660,0.009,26.000,0.245,0.012,10.000,0.094,0.010,74.000,0.698,0.009,20.000,0.189,0.009,12.000,0.113,0.011,74.000,0.698,0.010,21.000,0.198,0.008,11.000,0.104,0.007
