Entidad,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
VERACRUZ,29.000,0.259,0.024,70.000,0.625,0.027,8.000,0.071,0.027,0.000,0.000,0.000,5.000,0.045,0.026,35.000,0.313,0.019,69.000,0.616,0.031,6.000,0.054,0.045,1.000,0.009,0.063,1.000,0.009,0.022,43.000,0.384,0.020,65.000,0.580,0.033,3.000,0.027,0.028,1.000,0.009,0.067,0.000,0.000,0.000,51.000,0.455,0.022,58.000,0.518,0.032,3.000,0.027,0.054,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.277,0.018,75.000,0.670,0.033,3.000,0.027,0.030,0.000,0.000,0.000,3.000,0.027,0.024,37.000,0.330,0.024,63.000,0.563,0.029,7.000,0.063,0.020,0.000,0.000,0.000,5.000,0.045,0.050,55.000,0.491,0.026,50.000,0.446,0.025,6.000,0.054,0.047,0.000,0.000,0.000,1.000,0.009,0.033,45.000,0.402,0.022,59.000,0.527,0.029,6.000,0.054,0.047,1.000,0.009,0.091,1.000,0.009,0.016,38.000,0.339,0.024,65.000,0.580,0.029,5.000,0.045,0.022,0.000,0.000,0.000,4.000,0.036,0.030
YUCATÁN,24.000,0.238,0.020,61.000,0.604,0.024,10.000,0.099,0.034,1.000,0.010,0.043,5.000,0.050,0.026,35.000,0.347,0.019,58.000,0.574,0.026,7.000,0.069,0.052,0.000,0.000,0.000,1.000,0.010,0.022,46.000,0.455,0.021,50.000,0.495,0.025,4.000,0.040,0.038,0.000,0.000,0.000,1.000,0.010,0.043,48.000,0.475,0.020,50.000,0.495,0.028,2.000,0.020,0.036,0.000,0.000,0.000,1.000,0.010,0.053,35.000,0.347,0.020,64.000,0.634,0.028,1.000,0.010,0.010,0.000,0.000,0.000,1.000,0.010,0.008,35.000,0.347,0.023,55.000,0.545,0.025,9.000,0.089,0.026,0.000,0.000,0.000,2.000,0.020,0.020,45.000,0.446,0.021,53.000,0.525,0.027,2.000,0.020,0.016,0.000,0.000,0.000,1.000,0.010,0.033,43.000,0.426,0.021,54.000,0.535,0.027,4.000,0.040,0.031,0.000,0.000,0.000,0.000,0.000,0.000,34.000,0.337,0.021,55.000,0.545,0.024,7.000,0.069,0.031,1.000,0.010,0.042,4.000,0.040,0.030
ZACATECAS,43.000,0.230,0.036,123.000,0.658,0.048,10.000,0.053,0.034,1.000,0.005,0.043,10.000,0.053,0.053,75.000,0.401,0.041,101.000,0.540,0.045,7.000,0.037,0.052,2.000,0.011,0.125,2.000,0.011,0.044,88.000,0.471,0.041,89.000,0.476,0.045,8.000,0.043,0.075,1.000,0.005,0.067,1.000,0.005,0.043,93.000,0.497,0.039,88.000,0.471,0.049,4.000,0.021,0.071,1.000,0.005,0.091,1.000,0.005,0.053,65.000,0.348,0.038,110.000,0.588,0.048,4.000,0.021,0.040,1.000,0.005,0.091,7.000,0.037,0.056,69.000,0.369,0.045,95.000,0.508,0.043,19.000,0.102,0.054,0.000,0.000,0.000,4.000,0.021,0.040,88.000,0.471,0.042,94.000,0.503,0.048,5.000,0.027,0.039,0.000,0.000,0.000,0.000,0.000,0.000,79.000,0.422,0.039,101.000,0.540,0.050,5.000,0.027,0.039,1.000,0.005,0.091,1.000,0.005,0.016,56.000,0.299,0.035,115.000,0.615,0.051,8.000,0.043,0.036,3.000,0.016,0.125,5.000,0.027,0.037
Hombre,541.000,0.292,0.454,1123.000,0.606,0.440,117.000,0.063,0.397,10.000,0.005,0.435,62.000,0.033,0.328,844.000,0.455,0.464,939.000,0.507,0.420,51.000,0.028,0.381,7.000,0.004,0.438,12.000,0.006,0.267,972.000,0.525,0.454,822.000,0.444,0.418,43.000,0.023,0.406,5.000,0.003,0.333,11.000,0.006,0.478,1023.000,0.552,0.434,785.000,0.424,0.433,33.000,0.018,0.589,5.000,0.003,0.455,7.000,0.004,0.368,749.000,0.404,0.434,1012.000,0.546,0.442,48.000,0.026,0.475,7.000,0.004,0.636,37.000,0.020,0.298,718.000,0.387,0.463,925.000,0.499,0.421,160.000,0.086,0.458,19.000,0.010,0.328,31.000,0.017,0.310,944.000,0.509,0.450,846.000,0.457,0.429,46.000,0.025,0.362,7.000,0.004,0.259,10.000,0.005,0.333,908.000,0.490,0.450,857.000,0.462,0.421,59.000,0.032,0.465,6.000,0.003,0.545,23.000,0.012,0.377,730.000,0.394,0.455,953.000,0.515,0.421,107.000,0.058,0.478,12.000,0.006,0.500,50.000,0.027,0.373
Mujer,651.000,0.271,0.546,1431.000,0.596,0.560,178.000,0.074,0.603,13.000,0.005,0.565,127.000,0.053,0.672,976.000,0.407,0.536,1299.000,0.541,0.580,83.000,0.035,0.619,9.000,0.004,0.563,33.000,0.014,0.733,1169.000,0.487,0.546,1146.000,0.478,0.582,63.000,0.026,0.594,10.000,0.004,0.667,12.000,0.005,0.522,1332.000,0.555,0.566,1027.000,0.428,0.567,23.000,0.010,0.411,6.000,0.003,0.545,12.000,0.005,0.632,976.000,0.407,0.566,1280.000,0.533,0.558,53.000,0.022,0.525,4.000,0.002,0.364,87.000,0.036,0.702,832.000,0.347,0.537,1271.000,0.530,0.579,189.000,0.079,0.542,39.000,0.016,0.672,69.000,0.029,0.690,1153.000,0.480,0.550,1126.000,0.469,0.571,81.000,0.034,0.638,20.000,0.008,0.741,20.000,0.008,0.667,1111.000,0.463,0.550,1178.000,0.491,0.579,68.000,0.028,0.535,5.000,0.002,0.455,38.000,0.016,0.623,874.000,0.364,0.545,1313.000,0.547,0.579,117.000,0.049,0.522,12.000,0.005,0.500,84.000,0.035,0.627
18 a 20 años,0.000,0.000,0.000,8.000,0.800,0.003,2.000,0.200,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,1.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.200,0.001,8.000,0.800,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.200,0.001,8.000,0.800,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.200,0.001,8.000,0.800,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.200,0.001,7.000,0.700,0.003,1.000,0.100,0.003,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.400,0.002,6.000,0.600,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.300,0.001,7.000,0.700,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,0.001,9.000,0.900,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21 a 30 años,57.000,0.278,0.048,124.000,0.605,0.049,15.000,0.073,0.051,1.000,0.005,0.043,8.000,0.039,0.042,84.000,0.410,0.046,112.000,0.546,0.050,5.000,0.024,0.037,1.000,0.005,0.063,3.000,0.015,0.067,110.000,0.537,0.051,87.000,0.424,0.044,5.000,0.024,0.047,1.000,0.005,0.067,2.000,0.010,0.087,111.000,0.541,0.047,89.000,0.434,0.049,5.000,0.024,0.089,0.000,0.000,0.000,0.000,0.000,0.000,82.000,0.400,0.048,102.000,0.498,0.045,10.000,0.049,0.099,0.000,0.000,0.000,11.000,0.054,0.089,77.000,0.376,0.050,104.000,0.507,0.047,13.000,0.063,0.037,1.000,0.005,0.017,10.000,0.049,0.100,88.000,0.429,0.042,107.000,0.522,0.054,6.000,0.029,0.047,0.000,0.000,0.000,4.000,0.020,0.133,99.000,0.483,0.049,96.000,0.468,0.047,6.000,0.029,0.047,0.000,0.000,0.000,4.000,0.020,0.066,79.000,0.385,0.049,106.000,0.517,0.047,13.000,0.063,0.058,0.000,0.000,0.000,7.000,0.034,0.052
31 a 40 años,258.000,0.260,0.216,603.000,0.607,0.236,74.000,0.075,0.251,8.000,0.008,0.348,50.000,0.050,0.265,395.000,0.398,0.217,537.000,0.541,0.240,34.000,0.034,0.254,8.000,0.008,0.500,19.000,0.019,0.422,449.000,0.452,0.210,495.000,0.498,0.252,34.000,0.034,0.321,4.000,0.004,0.267,11.000,0.011,0.478,513.000,0.517,0.218,453.000,0.456,0.250,14.000,0.014,0.250,3.000,0.003,0.273,10.000,0.010,0.526,377.000,0.380,0.219,545.000,0.549,0.238,24.000,0.024,0.238,4.000,0.004,0.364,43.000,0.043,0.347,360.000,0.363,0.232,496.000,0.499,0.226,83.000,0.084,0.238,13.000,0.013,0.224,41.000,0.041,0.410,503.000,0.507,0.240,454.000,0.457,0.230,25.000,0.025,0.197,3.000,0.003,0.111,8.000,0.008,0.267,451.000,0.454,0.223,492.000,0.495,0.242,29.000,0.029,0.228,3.000,0.003,0.273,18.000,0.018,0.295,329.000,0.331,0.205,581.000,0.585,0.256,47.000,0.047,0.210,4.000,0.004,0.167,32.000,0.032,0.239
41 a 50 años,341.000,0.271,0.286,762.000,0.606,0.298,102.000,0.081,0.346,4.000,0.003,0.174,49.000,0.039,0.259,515.000,0.409,0.283,681.000,0.541,0.304,51.000,0.041,0.381,2.000,0.002,0.125,9.000,0.007,0.200,600.000,0.477,0.280,609.000,0.484,0.309,38.000,0.030,0.358,5.000,0.004,0.333,6.000,0.005,0.261,693.000,0.551,0.294,543.000,0.432,0.300,14.000,0.011,0.250,5.000,0.004,0.455,3.000,0.002,0.158,499.000,0.397,0.289,689.000,0.548,0.301,34.000,0.027,0.337,4.000,0.003,0.364,32.000,0.025,0.258,440.000,0.350,0.284,663.000,0.527,0.302,101.000,0.080,0.289,23.000,0.018,0.397,31.000,0.025,0.310,614.000,0.488,0.293,577.000,0.459,0.293,39.000,0.031,0.307,15.000,0.012,0.556,13.000,0.010,0.433,604.000,0.480,0.299,595.000,0.473,0.292,41.000,0.033,0.323,2.000,0.002,0.182,16.000,0.013,0.262,470.000,0.374,0.293,657.000,0.523,0.290,84.000,0.067,0.375,8.000,0.006,0.333,38.000,0.030,0.284
51 a 60 años,372.000,0.295,0.312,754.000,0.598,0.295,71.000,0.056,0.241,8.000,0.006,0.348,56.000,0.044,0.296,555.000,0.440,0.305,653.000,0.518,0.292,37.000,0.029,0.276,3.000,0.002,0.188,13.000,0.010,0.289,653.000,0.518,0.305,576.000,0.457,0.293,26.000,0.021,0.245,3.000,0.002,0.200,3.000,0.002,0.130,717.000,0.569,0.304,518.000,0.411,0.286,19.000,0.015,0.339,2.000,0.002,0.182,5.000,0.004,0.263,523.000,0.415,0.303,686.000,0.544,0.299,23.000,0.018,0.228,2.000,0.002,0.182,27.000,0.021,0.218,472.000,0.374,0.305,659.000,0.523,0.300,104.000,0.082,0.298,13.000,0.010,0.224,13.000,0.010,0.130,616.000,0.489,0.294,595.000,0.472,0.302,41.000,0.033,0.323,6.000,0.005,0.222,3.000,0.002,0.100,577.000,0.458,0.286,625.000,0.496,0.307,38.000,0.030,0.299,5.000,0.004,0.455,16.000,0.013,0.262,492.000,0.390,0.307,668.000,0.530,0.295,51.000,0.040,0.228,8.000,0.006,0.333,42.000,0.033,0.313
61 a 70 años,140.000,0.302,0.117,273.000,0.588,0.107,30.000,0.065,0.102,1.000,0.002,0.043,20.000,0.043,0.106,237.000,0.511,0.130,218.000,0.470,0.097,7.000,0.015,0.052,2.000,0.004,0.125,0.000,0.000,0.000,289.000,0.623,0.135,170.000,0.366,0.086,3.000,0.006,0.028,2.000,0.004,0.133,0.000,0.000,0.000,285.000,0.614,0.121,174.000,0.375,0.096,4.000,0.009,0.071,1.000,0.002,0.091,0.000,0.000,0.000,212.000,0.457,0.123,233.000,0.502,0.102,9.000,0.019,0.089,1.000,0.002,0.091,9.000,0.019,0.073,176.000,0.379,0.114,234.000,0.504,0.107,42.000,0.091,0.120,8.000,0.017,0.138,4.000,0.009,0.040,247.000,0.532,0.118,199.000,0.429,0.101,14.000,0.030,0.110,3.000,0.006,0.111,1.000,0.002,0.033,256.000,0.552,0.127,188.000,0.405,0.092,13.000,0.028,0.102,1.000,0.002,0.091,6.000,0.013,0.098,206.000,0.444,0.128,220.000,0.474,0.097,22.000,0.047,0.098,4.000,0.009,0.167,12.000,0.026,0.090
71 a 80 años,24.000,0.387,0.020,30.000,0.484,0.012,1.000,0.016,0.003,1.000,0.016,0.043,6.000,0.097,0.032,34.000,0.548,0.019,27.000,0.435,0.012,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.016,0.022,38.000,0.613,0.018,23.000,0.371,0.012,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.016,0.043,34.000,0.548,0.014,27.000,0.435,0.015,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.016,0.053,30.000,0.484,0.017,29.000,0.468,0.013,1.000,0.016,0.010,0.000,0.000,0.000,2.000,0.032,0.016,23.000,0.371,0.015,33.000,0.532,0.015,5.000,0.081,0.014,0.000,0.000,0.000,1.000,0.016,0.010,25.000,0.403,0.012,34.000,0.548,0.017,2.000,0.032,0.016,0.000,0.000,0.000,1.000,0.016,0.033,29.000,0.468,0.014,32.000,0.516,0.016,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.016,0.016,27.000,0.435,0.017,25.000,0.403,0.011,7.000,0.113,0.031,0.000,0.000,0.000,3.000,0.048,0.022
81 a 90 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
91 a 99 años,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Preparatoria, bachillerato o carrera técnica",1.000,0.056,0.001,16.000,0.889,0.006,0.000,0.000,0.000,1.000,0.056,0.043,0.000,0.000,0.000,5.000,0.278,0.003,12.000,0.667,0.005,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.056,0.022,6.000,0.333,0.003,11.000,0.611,0.006,1.000,0.056,0.009,0.000,0.000,0.000,0.000,0.000,0.000,7.000,0.389,0.003,10.000,0.556,0.006,1.000,0.056,0.018,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.222,0.002,14.000,0.778,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.167,0.002,12.000,0.667,0.005,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.167,0.030,4.000,0.222,0.002,14.000,0.778,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,0.278,0.002,11.000,0.611,0.005,1.000,0.056,0.008,0.000,0.000,0.000,1.000,0.056,0.016,6.000,0.333,0.004,11.000,0.611,0.005,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.056,0.007
Normal básica sin licenciatura,22.000,0.256,0.018,55.000,0.640,0.022,7.000,0.081,0.024,0.000,0.000,0.000,2.000,0.023,0.011,24.000,0.279,0.013,61.000,0.709,0.027,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.012,0.022,24.000,0.279,0.011,61.000,0.709,0.031,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.012,0.043,38.000,0.442,0.016,46.000,0.535,0.025,1.000,0.012,0.018,0.000,0.000,0.000,1.000,0.012,0.053,26.000,0.302,0.015,57.000,0.663,0.025,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.035,0.024,17.000,0.198,0.011,57.000,0.663,0.026,11.000,0.128,0.032,1.000,0.012,0.017,0.000,0.000,0.000,29.000,0.337,0.014,51.000,0.593,0.026,4.000,0.047,0.031,2.000,0.023,0.074,0.000,0.000,0.000,33.000,0.384,0.016,51.000,0.593,0.025,2.000,0.023,0.016,0.000,0.000,0.000,0.000,0.000,0.000,27.000,0.314,0.017,52.000,0.605,0.023,4.000,0.047,0.018,0.000,0.000,0.000,3.000,0.035,0.022
Normal superior,68.000,0.281,0.057,152.000,0.628,0.060,10.000,0.041,0.034,2.000,0.008,0.087,10.000,0.041,0.053,113.000,0.467,0.062,120.000,0.496,0.054,7.000,0.029,0.052,1.000,0.004,0.063,1.000,0.004,0.022,126.000,0.521,0.059,107.000,0.442,0.054,8.000,0.033,0.075,0.000,0.000,0.000,1.000,0.004,0.043,128.000,0.529,0.054,110.000,0.455,0.061,4.000,0.017,0.071,0.000,0.000,0.000,0.000,0.000,0.000,97.000,0.401,0.056,137.000,0.566,0.060,2.000,0.008,0.020,0.000,0.000,0.000,6.000,0.025,0.048,83.000,0.343,0.054,129.000,0.533,0.059,24.000,0.099,0.069,2.000,0.008,0.034,4.000,0.017,0.040,109.000,0.450,0.052,119.000,0.492,0.060,8.000,0.033,0.063,2.000,0.008,0.074,4.000,0.017,0.133,112.000,0.463,0.055,116.000,0.479,0.057,9.000,0.037,0.071,1.000,0.004,0.091,4.000,0.017,0.066,93.000,0.384,0.058,127.000,0.525,0.056,12.000,0.050,0.054,1.000,0.004,0.042,9.000,0.037,0.067
Normal Intercultural Bilingüe,1.000,0.200,0.001,4.000,0.800,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.200,0.001,4.000,0.800,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.001,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.001,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.002,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.002,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.600,0.001,2.000,0.400,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.800,0.002,1.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.200,0.001,4.000,0.800,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Licenciatura,489.000,0.267,0.410,1133.000,0.618,0.444,113.000,0.062,0.383,9.000,0.005,0.391,90.000,0.049,0.476,693.000,0.378,0.381,1035.000,0.564,0.462,71.000,0.039,0.530,8.000,0.004,0.500,27.000,0.015,0.600,846.000,0.461,0.395,918.000,0.501,0.466,52.000,0.028,0.491,8.000,0.004,0.533,10.000,0.005,0.435,955.000,0.521,0.406,839.000,0.457,0.463,26.000,0.014,0.464,5.000,0.003,0.455,9.000,0.005,0.474,667.000,0.364,0.387,1041.000,0.568,0.454,47.000,0.026,0.465,8.000,0.004,0.727,71.000,0.039,0.573,607.000,0.331,0.392,1023.000,0.558,0.466,130.000,0.071,0.372,17.000,0.009,0.293,57.000,0.031,0.570,824.000,0.449,0.393,930.000,0.507,0.472,58.000,0.032,0.457,10.000,0.005,0.370,12.000,0.007,0.400,808.000,0.441,0.400,934.000,0.509,0.459,51.000,0.028,0.402,3.000,0.002,0.273,38.000,0.021,0.623,653.000,0.356,0.407,1023.000,0.558,0.451,88.000,0.048,0.393,8.000,0.004,0.333,61.000,0.033,0.455
Especialidad,17.000,0.347,0.014,28.000,0.571,0.011,2.000,0.041,0.007,1.000,0.020,0.043,1.000,0.020,0.005,22.000,0.449,0.012,26.000,0.531,0.012,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.020,0.022,29.000,0.592,0.014,20.000,0.408,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.000,0.673,0.014,16.000,0.327,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.000,0.531,0.015,20.000,0.408,0.009,2.000,0.041,0.020,0.000,0.000,0.000,1.000,0.020,0.008,20.000,0.408,0.013,24.000,0.490,0.011,5.000,0.102,0.014,0.000,0.000,0.000,0.000,0.000,0.000,28.000,0.571,0.013,20.000,0.408,0.010,1.000,0.020,0.008,0.000,0.000,0.000,0.000,0.000,0.000,24.000,0.490,0.012,23.000,0.469,0.011,2.000,0.041,0.016,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.367,0.011,27.000,0.551,0.012,1.000,0.020,0.004,0.000,0.000,0.000,3.000,0.061,0.022
